src_port,dst_port,length,protocol,tcp_flags,ttl
443.0,52877.0,1514.0,6.0,24.0,54.0
443.0,52877.0,1514.0,6.0,16.0,54.0
443.0,52877.0,1514.0,6.0,24.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,1514.0,6.0,16.0,54.0
443.0,52877.0,1514.0,6.0,24.0,54.0
443.0,52877.0,1514.0,6.0,16.0,54.0
443.0,52877.0,1514.0,6.0,24.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,1514.0,6.0,16.0,54.0
443.0,52877.0,1514.0,6.0,24.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,1514.0,6.0,16.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,1514.0,6.0,24.0,54.0
443.0,52877.0,1514.0,6.0,16.0,54.0
443.0,52877.0,1514.0,6.0,24.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,1514.0,6.0,16.0,54.0
443.0,52877.0,1514.0,6.0,24.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,1514.0,6.0,16.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,1514.0,6.0,24.0,54.0
443.0,52877.0,1514.0,6.0,16.0,54.0
443.0,52877.0,1514.0,6.0,24.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,1514.0,6.0,16.0,54.0
443.0,52877.0,1514.0,6.0,24.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,1514.0,6.0,16.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,1514.0,6.0,24.0,54.0
443.0,52877.0,1514.0,6.0,16.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,1514.0,6.0,24.0,54.0
443.0,52877.0,1514.0,6.0,16.0,54.0
443.0,52877.0,1514.0,6.0,24.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,1514.0,6.0,16.0,54.0
443.0,52877.0,1514.0,6.0,24.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,174.0,6.0,24.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
57476.0,1900.0,362.0,17.0,0.0,4.0
5353.0,5353.0,1087.0,17.0,0.0,255.0
48136.0,1900.0,418.0,17.0,0.0,4.0
56294.0,1900.0,371.0,17.0,0.0,4.0
40715.0,1900.0,428.0,17.0,0.0,4.0
51195.0,443.0,172.0,6.0,24.0,128.0
443.0,51195.0,60.0,6.0,16.0,55.0
443.0,52064.0,122.0,17.0,0.0,57.0
52064.0,443.0,75.0,17.0,0.0,128.0
443.0,51195.0,87.0,6.0,24.0,55.0
51162.0,1900.0,416.0,17.0,0.0,4.0
37267.0,1900.0,426.0,17.0,0.0,4.0
56968.0,443.0,55.0,6.0,16.0,128.0
443.0,56968.0,66.0,6.0,16.0,111.0
51195.0,443.0,54.0,6.0,16.0,128.0
